ref	rel	RELATION
75520	97117	IDENTICAL
529182	75520	IDENTICAL
529182	97117	IDENTICAL
97117	75520	IDENTICAL
97117	529182	IDENTICAL
145564	262903	IDENTICAL
262903	145564	IDENTICAL
145600	145602	IDENTICAL
145602	145600	IDENTICAL
145812	248789	IDENTICAL
248789	145812	IDENTICAL
145880	169425	IDENTICAL
169425	145880	IDENTICAL
146212	27042	IDENTICAL
146212	94922	IDENTICAL
27042	146212	IDENTICAL
27042	94922	IDENTICAL
94922	146212	IDENTICAL
94922	27042	IDENTICAL
146228	146227	IDENTICAL
146228	146232	IDENTICAL
146228	146230	IDENTICAL
146227	146228	IDENTICAL
146227	146232	IDENTICAL
146227	146230	IDENTICAL
146232	146228	IDENTICAL
146232	146227	IDENTICAL
146232	146230	IDENTICAL
146230	146228	IDENTICAL
146230	146227	IDENTICAL
146230	146232	IDENTICAL
146276	228886	IDENTICAL
228886	146276	IDENTICAL
146376	146375	IDENTICAL
146375	146376	IDENTICAL
146604	258350	IDENTICAL
146604	519273	IDENTICAL
146604	688864	IDENTICAL
146604	406444	IDENTICAL
258350	146604	IDENTICAL
258350	519273	IDENTICAL
258350	688864	IDENTICAL
258350	406444	IDENTICAL
519273	146604	IDENTICAL
519273	258350	IDENTICAL
519273	688864	IDENTICAL
519273	406444	IDENTICAL
688864	146604	IDENTICAL
688864	258350	IDENTICAL
688864	519273	IDENTICAL
688864	406444	IDENTICAL
406444	146604	IDENTICAL
406444	258350	IDENTICAL
406444	519273	IDENTICAL
406444	688864	IDENTICAL
169344	166589	IDENTICAL
169344	169345	IDENTICAL
166589	169344	IDENTICAL
166589	169345	IDENTICAL
169345	169344	IDENTICAL
169345	166589	IDENTICAL
169428	96108	IDENTICAL
169428	258653	IDENTICAL
169428	104070	IDENTICAL
96108	169428	IDENTICAL
96108	258653	IDENTICAL
96108	104070	IDENTICAL
258653	169428	IDENTICAL
258653	96108	IDENTICAL
258653	104070	IDENTICAL
104070	169428	IDENTICAL
104070	96108	IDENTICAL
104070	258653	IDENTICAL
169800	150415	IDENTICAL
150415	169800	IDENTICAL
170348	59196	IDENTICAL
170348	140668	IDENTICAL
170348	170350	IDENTICAL
170348	99615	IDENTICAL
170348	170349	IDENTICAL
170348	170347	IDENTICAL
59196	170348	IDENTICAL
59196	140668	IDENTICAL
59196	170350	IDENTICAL
59196	99615	IDENTICAL
59196	170349	IDENTICAL
59196	170347	IDENTICAL
140668	170348	IDENTICAL
140668	59196	IDENTICAL
140668	170350	IDENTICAL
140668	99615	IDENTICAL
140668	170349	IDENTICAL
140668	170347	IDENTICAL
170350	170348	IDENTICAL
170350	59196	IDENTICAL
170350	140668	IDENTICAL
170350	99615	IDENTICAL
170350	170349	IDENTICAL
170350	170347	IDENTICAL
99615	170348	IDENTICAL
99615	59196	IDENTICAL
99615	140668	IDENTICAL
99615	170350	IDENTICAL
99615	170349	IDENTICAL
99615	170347	IDENTICAL
170349	170348	IDENTICAL
170349	59196	IDENTICAL
170349	140668	IDENTICAL
170349	170350	IDENTICAL
170349	99615	IDENTICAL
170349	170347	IDENTICAL
170347	170348	IDENTICAL
170347	59196	IDENTICAL
170347	140668	IDENTICAL
170347	170350	IDENTICAL
170347	99615	IDENTICAL
170347	170349	IDENTICAL
170976	758969	IDENTICAL
758969	170976	IDENTICAL
172256	137529	IDENTICAL
137529	172256	IDENTICAL
173552	173555	IDENTICAL
173555	173552	IDENTICAL
174992	242087	IDENTICAL
242087	174992	IDENTICAL
175000	228742	IDENTICAL
228742	175000	IDENTICAL
248080	172121	IDENTICAL
172121	248080	IDENTICAL
248244	757875	IDENTICAL
757875	248244	IDENTICAL
249232	177010	IDENTICAL
177010	249232	IDENTICAL
250096	31490	IDENTICAL
31490	250096	IDENTICAL
250388	185245	IDENTICAL
185245	250388	IDENTICAL
250428	48077	IDENTICAL
48077	250428	IDENTICAL
250492	230955	IDENTICAL
230955	250492	IDENTICAL
84464	208410	IDENTICAL
208410	84464	IDENTICAL
84988	78216	IDENTICAL
78216	84988	IDENTICAL
86192	159715	IDENTICAL
159715	86192	IDENTICAL
87216	666505	IDENTICAL
666505	87216	IDENTICAL
87536	508743	IDENTICAL
508743	87536	IDENTICAL
87676	70422	IDENTICAL
87676	247519	IDENTICAL
87676	91041	IDENTICAL
