ref	rel	RELATION
111688	3839	IDENTICAL
111687	111688	IDENTICAL
111687	3839	IDENTICAL
3839	111688	IDENTICAL
3839	111687	IDENTICAL
111960	290340	IDENTICAL
111960	100472	IDENTICAL
290340	111960	IDENTICAL
290340	100472	IDENTICAL
100472	111960	IDENTICAL
100472	290340	IDENTICAL
126456	20701	IDENTICAL
20701	126456	IDENTICAL
126576	127950	IDENTICAL
127950	126576	IDENTICAL
126804	174009	IDENTICAL
174009	126804	IDENTICAL
141156	143255	IDENTICAL
143255	141156	IDENTICAL
142024	164850	IDENTICAL
164850	142024	IDENTICAL
142128	670690	IDENTICAL
670690	142128	IDENTICAL
142144	357988	IDENTICAL
357988	142144	IDENTICAL
142156	2562066	IDENTICAL
2562066	142156	IDENTICAL
94012	94011	IDENTICAL
94011	94012	IDENTICAL
94320	758212	IDENTICAL
758212	94320	IDENTICAL
94612	660386	IDENTICAL
660386	94612	IDENTICAL
94732	26773	IDENTICAL
26773	94732	IDENTICAL
94880	288101	IDENTICAL
288101	94880	IDENTICAL
112160	212502	IDENTICAL
212502	112160	IDENTICAL
112492	9345	IDENTICAL
9345	112492	IDENTICAL
112520	145973	IDENTICAL
145973	112520	IDENTICAL
112836	401563	IDENTICAL
401563	112836	IDENTICAL
112848	112847	IDENTICAL
112847	112848	IDENTICAL
112864	409198	IDENTICAL
409198	112864	IDENTICAL
113100	113101	IDENTICAL
113101	113100	IDENTICAL
126924	126449	IDENTICAL
126924	234743	IDENTICAL
126449	126924	IDENTICAL
126449	234743	IDENTICAL
234743	126924	IDENTICAL
234743	126449	IDENTICAL
127072	136895	IDENTICAL
136895	127072	IDENTICAL
142844	106405	IDENTICAL
106405	142844	IDENTICAL
142872	151413	IDENTICAL
151413	142872	IDENTICAL
142972	138778	IDENTICAL
142972	137645	IDENTICAL
142972	138779	IDENTICAL
142972	142971	IDENTICAL
142972	142078	IDENTICAL
142972	142970	IDENTICAL
142972	165258	IDENTICAL
142972	134438	IDENTICAL
138778	142972	IDENTICAL
138778	137645	IDENTICAL
138778	138779	IDENTICAL
138778	142971	IDENTICAL
138778	142078	IDENTICAL
138778	142970	IDENTICAL
138778	165258	IDENTICAL
138778	134438	IDENTICAL
137645	142972	IDENTICAL
137645	138778	IDENTICAL
137645	138779	IDENTICAL
137645	142971	IDENTICAL
137645	142078	IDENTICAL
137645	142970	IDENTICAL
137645	165258	IDENTICAL
137645	134438	IDENTICAL
138779	142972	IDENTICAL
138779	138778	IDENTICAL
138779	137645	IDENTICAL
138779	142971	IDENTICAL
138779	142078	IDENTICAL
138779	142970	IDENTICAL
138779	165258	IDENTICAL
138779	134438	IDENTICAL
142971	142972	IDENTICAL
142971	138778	IDENTICAL
142971	137645	IDENTICAL
142971	138779	IDENTICAL
142971	142078	IDENTICAL
142971	142970	IDENTICAL
142971	165258	IDENTICAL
142971	134438	IDENTICAL
142078	142972	IDENTICAL
142078	138778	IDENTICAL
142078	137645	IDENTICAL
142078	138779	IDENTICAL
142078	142971	IDENTICAL
142078	142970	IDENTICAL
142078	165258	IDENTICAL
142078	134438	IDENTICAL
142970	142972	IDENTICAL
142970	138778	IDENTICAL
142970	137645	IDENTICAL
142970	138779	IDENTICAL
142970	142971	IDENTICAL
142970	142078	IDENTICAL
142970	165258	IDENTICAL
142970	134438	IDENTICAL
165258	142972	IDENTICAL
165258	138778	IDENTICAL
165258	137645	IDENTICAL
165258	138779	IDENTICAL
165258	142971	IDENTICAL
165258	142078	IDENTICAL
165258	142970	IDENTICAL
165258	134438	IDENTICAL
134438	142972	IDENTICAL
134438	138778	IDENTICAL
134438	137645	IDENTICAL
134438	138779	IDENTICAL
134438	142971	IDENTICAL
134438	142078	IDENTICAL
134438	142970	IDENTICAL
134438	165258	IDENTICAL
143000	143001	IDENTICAL
143001	143000	IDENTICAL
143252	141129	IDENTICAL
141129	143252	IDENTICAL
97100	89717	IDENTICAL
89717	97100	IDENTICAL
97112	99197	IDENTICAL
99197	97112	IDENTICAL
97452	2562544	IDENTICAL
2562544	97452	IDENTICAL
97492	77728	IDENTICAL
77728	97492	IDENTICAL
113240	107099	IDENTICAL
107099	113240	IDENTICAL
113268	65527	IDENTICAL
65527	113268	IDENTICAL
113560	254146	IDENTICAL
113560	97742	IDENTICAL
254146	113560	IDENTICAL
254146	97742	IDENTICAL
97742	113560	IDENTICAL
97742	254146	IDENTICAL
113884	113883	IDENTICAL
113884	113816	IDENTICAL
113883	113884	IDENTICAL
113883	113816	IDENTICAL
113816	113884	IDENTICAL
113816	113883	IDENTICAL
113956	255285	IDENTICAL
255285	113956	IDENTICAL
114120	72560	IDENTICAL
72560	114120	IDENTICAL
114128	212579	IDENTICAL
212579	114128	IDENTICAL
114248	2923	IDENTICAL
114248	114243	IDENTICAL
2923	114248	IDENTICAL
2923	114243	IDENTICAL
114243	114248	IDENTICAL
114243	2923	IDENTICAL
114360	654565	IDENTICAL
654565	114360	IDENTICAL
128364	234376	IDENTICAL
234376	128364	IDENTICAL
128612	128613	IDENTICAL
128613	128612	IDENTICAL
129356	13913	IDENTICAL
13913	129356	IDENTICAL
143556	10070	IDENTICAL
10070	143556	IDENTICAL
144004	140007	IDENTICAL
144004	144002	IDENTICAL
140007	144004	IDENTICAL
140007	144002	IDENTICAL
144002	144004	IDENTICAL
144002	140007	IDENTICAL
144212	144214	IDENTICAL
144212	144211	IDENTICAL
144212	144213	IDENTICAL
144212	135057	IDENTICAL
144214	144212	IDENTICAL
144214	144211	IDENTICAL
144214	144213	IDENTICAL
144214	135057	IDENTICAL
144211	144212	IDENTICAL
144211	144214	IDENTICAL
144211	144213	IDENTICAL
144211	135057	IDENTICAL
144213	144212	IDENTICAL
144213	144214	IDENTICAL
144213	144211	IDENTICAL
144213	135057	IDENTICAL
135057	144212	IDENTICAL
135057	144214	IDENTICAL
135057	144211	IDENTICAL
135057	144213	IDENTICAL
144420	138338	IDENTICAL
144420	138337	IDENTICAL
138338	144420	IDENTICAL
138338	138337	IDENTICAL
138337	144420	IDENTICAL
138337	138338	IDENTICAL
95564	675321	IDENTICAL
675321	95564	IDENTICAL
96120	230457	IDENTICAL
230457	96120	IDENTICAL
114404	662628	IDENTICAL
662628	114404	IDENTICAL
114840	114841	IDENTICAL
114841	114840	IDENTICAL
115504	115505	IDENTICAL
115505	115504	IDENTICAL
129696	86459	IDENTICAL
129696	102312	IDENTICAL
86459	129696	IDENTICAL
86459	102312	IDENTICAL
102312	129696	IDENTICAL
102312	86459	IDENTICAL
129992	129989	IDENTICAL
129989	129992	IDENTICAL
130056	649643	IDENTICAL
649643	130056	IDENTICAL
130276	130278	IDENTICAL
130276	130275	IDENTICAL
130276	130277	IDENTICAL
130278	130276	IDENTICAL
130278	130275	IDENTICAL
130278	130277	IDENTICAL
130275	130276	IDENTICAL
130275	130278	IDENTICAL
130275	130277	IDENTICAL
130277	130276	IDENTICAL
130277	130278	IDENTICAL
130277	130275	IDENTICAL
144592	269932	IDENTICAL
269932	144592	IDENTICAL
144732	144733	IDENTICAL
144733	144732	IDENTICAL
145128	617525	IDENTICAL
617525	145128	IDENTICAL
145224	151415	IDENTICAL
151415	145224	IDENTICAL
145296	142933	IDENTICAL
145296	142931	IDENTICAL
145296	142917	IDENTICAL
145296	145297	IDENTICAL
145296	142932	IDENTICAL
145296	145298	IDENTICAL
145296	142916	IDENTICAL
142933	145296	IDENTICAL
142933	142931	IDENTICAL
142933	142917	IDENTICAL
142933	145297	IDENTICAL
142933	142932	IDENTICAL
142933	145298	IDENTICAL
142933	142916	IDENTICAL
142931	145296	IDENTICAL
142931	142933	IDENTICAL
142931	142917	IDENTICAL
142931	145297	IDENTICAL
142931	142932	IDENTICAL
142931	145298	IDENTICAL
142931	142916	IDENTICAL
142917	145296	IDENTICAL
142917	142933	IDENTICAL
142917	142931	IDENTICAL
142917	145297	IDENTICAL
142917	142932	IDENTICAL
142917	145298	IDENTICAL
142917	142916	IDENTICAL
145297	145296	IDENTICAL
145297	142933	IDENTICAL
145297	142931	IDENTICAL
145297	142917	IDENTICAL
145297	142932	IDENTICAL
145297	145298	IDENTICAL
145297	142916	IDENTICAL
142932	145296	IDENTICAL
142932	142933	IDENTICAL
142932	142931	IDENTICAL
142932	142917	IDENTICAL
142932	145297	IDENTICAL
142932	145298	IDENTICAL
142932	142916	IDENTICAL
145298	145296	IDENTICAL
145298	142933	IDENTICAL
145298	142931	IDENTICAL
145298	142917	IDENTICAL
145298	145297	IDENTICAL
145298	142932	IDENTICAL
145298	142916	IDENTICAL
142916	145296	IDENTICAL
142916	142933	IDENTICAL
142916	142931	IDENTICAL
142916	142917	IDENTICAL
142916	145297	IDENTICAL
142916	142932	IDENTICAL
142916	145298	IDENTICAL
97936	208959	IDENTICAL
97936	4143	IDENTICAL
208959	97936	IDENTICAL
208959	4143	IDENTICAL
4143	97936	IDENTICAL
4143	208959	IDENTICAL
98260	98259	IDENTICAL
98259	98260	IDENTICAL
98496	98415	IDENTICAL
98415	98496	IDENTICAL
98536	84032	IDENTICAL
84032	98536	IDENTICAL
98728	75587	IDENTICAL
75587	98728	IDENTICAL
115604	107661	IDENTICAL
107661	115604	IDENTICAL
115896	137009	IDENTICAL
137009	115896	IDENTICAL
116012	115999	IDENTICAL
115999	116012	IDENTICAL
116068	122223	IDENTICAL
122223	116068	IDENTICAL
116168	650839	IDENTICAL
116168	179111	IDENTICAL
650839	116168	IDENTICAL
650839	179111	IDENTICAL
179111	116168	IDENTICAL
179111	650839	IDENTICAL
116552	669792	IDENTICAL
669792	116552	IDENTICAL
116704	25457	IDENTICAL
25457	116704	IDENTICAL
130516	129321	IDENTICAL
130516	129323	IDENTICAL
129321	130516	IDENTICAL
129321	129323	IDENTICAL
129323	130516	IDENTICAL
129323	129321	IDENTICAL
130844	20239	IDENTICAL
20239	130844	IDENTICAL
131104	109903	IDENTICAL
109903	131104	IDENTICAL
131192	14927	IDENTICAL
14927	131192	IDENTICAL
131652	91551	IDENTICAL
91551	131652	IDENTICAL
145916	106390	IDENTICAL
145916	142794	IDENTICAL
106390	145916	IDENTICAL
106390	142794	IDENTICAL
142794	145916	IDENTICAL
142794	106390	IDENTICAL
146384	166697	IDENTICAL
166697	146384	IDENTICAL
146688	146687	IDENTICAL
146688	236191	IDENTICAL
146688	155974	IDENTICAL
146688	192157	IDENTICAL
146688	229211	IDENTICAL
146687	146688	IDENTICAL
146687	236191	IDENTICAL
146687	155974	IDENTICAL
146687	192157	IDENTICAL
146687	229211	IDENTICAL
236191	146688	IDENTICAL
236191	146687	IDENTICAL
236191	155974	IDENTICAL
236191	192157	IDENTICAL
236191	229211	IDENTICAL
155974	146688	IDENTICAL
155974	146687	IDENTICAL
155974	236191	IDENTICAL
155974	192157	IDENTICAL
155974	229211	IDENTICAL
192157	146688	IDENTICAL
192157	146687	IDENTICAL
192157	236191	IDENTICAL
192157	155974	IDENTICAL
192157	229211	IDENTICAL
229211	146688	IDENTICAL
229211	146687	IDENTICAL
229211	236191	IDENTICAL
229211	155974	IDENTICAL
229211	192157	IDENTICAL
99036	402943	IDENTICAL
402943	99036	IDENTICAL
99168	227360	IDENTICAL
227360	99168	IDENTICAL
99808	276828	IDENTICAL
276828	99808	IDENTICAL
99936	117025	IDENTICAL
117025	99936	IDENTICAL
100052	100051	IDENTICAL
100051	100052	IDENTICAL
176168	9383	IDENTICAL
9383	176168	IDENTICAL
176412	48825	IDENTICAL
48825	176412	IDENTICAL
176724	141417	IDENTICAL
176724	187125	IDENTICAL
176724	251342	IDENTICAL
176724	68674	IDENTICAL
141417	176724	IDENTICAL
141417	187125	IDENTICAL
141417	251342	IDENTICAL
141417	68674	IDENTICAL
187125	176724	IDENTICAL
187125	141417	IDENTICAL
187125	251342	IDENTICAL
187125	68674	IDENTICAL
251342	176724	IDENTICAL
251342	141417	IDENTICAL
251342	187125	IDENTICAL
251342	68674	IDENTICAL
68674	176724	IDENTICAL
68674	141417	IDENTICAL
68674	187125	IDENTICAL
68674	251342	IDENTICAL
176800	181403	IDENTICAL
176800	19561	IDENTICAL
176800	220184	IDENTICAL
176800	73766	IDENTICAL
181403	176800	IDENTICAL
181403	19561	IDENTICAL
181403	220184	IDENTICAL
181403	73766	IDENTICAL
19561	176800	IDENTICAL
19561	181403	IDENTICAL
19561	220184	IDENTICAL
19561	73766	IDENTICAL
220184	176800	IDENTICAL
220184	181403	IDENTICAL
220184	19561	IDENTICAL
220184	73766	IDENTICAL
73766	176800	IDENTICAL
73766	181403	IDENTICAL
73766	19561	IDENTICAL
73766	220184	IDENTICAL
176896	247780	IDENTICAL
176896	149938	IDENTICAL
247780	176896	IDENTICAL
247780	149938	IDENTICAL
149938	176896	IDENTICAL
149938	247780	IDENTICAL
191556	213061	IDENTICAL
191556	224162	IDENTICAL
191556	41042	IDENTICAL
213061	191556	IDENTICAL
213061	224162	IDENTICAL
213061	41042	IDENTICAL
224162	191556	IDENTICAL
224162	213061	IDENTICAL
224162	41042	IDENTICAL
41042	191556	IDENTICAL
41042	213061	IDENTICAL
41042	224162	IDENTICAL
191568	671919	IDENTICAL
671919	191568	IDENTICAL
206012	526005	IDENTICAL
526005	206012	IDENTICAL
206040	113761	IDENTICAL
206040	100977	IDENTICAL
113761	206040	IDENTICAL
113761	100977	IDENTICAL
100977	206040	IDENTICAL
100977	113761	IDENTICAL
206196	137992	IDENTICAL
137992	206196	IDENTICAL
220044	405307	IDENTICAL
405307	220044	IDENTICAL
220192	62888	IDENTICAL
62888	220192	IDENTICAL
175280	162945	IDENTICAL
162945	175280	IDENTICAL
175400	175401	IDENTICAL
175400	175402	IDENTICAL
175401	175400	IDENTICAL
175401	175402	IDENTICAL
175402	175400	IDENTICAL
175402	175401	IDENTICAL
175748	158746	IDENTICAL
158746	175748	IDENTICAL
175880	2562589	IDENTICAL
2562589	175880	IDENTICAL
175952	175949	IDENTICAL
175952	175951	IDENTICAL
175952	175950	IDENTICAL
175949	175952	IDENTICAL
175949	175951	IDENTICAL
175949	175950	IDENTICAL
175951	175952	IDENTICAL
175951	175949	IDENTICAL
175951	175950	IDENTICAL
175950	175952	IDENTICAL
175950	175949	IDENTICAL
175950	175951	IDENTICAL
176000	2566285	IDENTICAL
2566285	176000	IDENTICAL
191944	241986	IDENTICAL
241986	191944	IDENTICAL
192052	210620	IDENTICAL
192052	107077	IDENTICAL
210620	192052	IDENTICAL
210620	107077	IDENTICAL
107077	192052	IDENTICAL
107077	210620	IDENTICAL
192312	192313	IDENTICAL
192313	192312	IDENTICAL
192672	259011	IDENTICAL
259011	192672	IDENTICAL
206620	206617	IDENTICAL
206617	206620	IDENTICAL
206764	2594673	IDENTICAL
206764	759149	IDENTICAL
2594673	206764	IDENTICAL
2594673	759149	IDENTICAL
759149	206764	IDENTICAL
759149	2594673	IDENTICAL
206964	2564609	IDENTICAL
2564609	206964	IDENTICAL
206984	105440	IDENTICAL
206984	1028	IDENTICAL
105440	206984	IDENTICAL
105440	1028	IDENTICAL
1028	206984	IDENTICAL
1028	105440	IDENTICAL
207108	207109	IDENTICAL
207109	207108	IDENTICAL
221424	405819	IDENTICAL
405819	221424	IDENTICAL
221444	56060	IDENTICAL
56060	221444	IDENTICAL
221656	221655	IDENTICAL
221655	221656	IDENTICAL
222176	2578451	IDENTICAL
2578451	222176	IDENTICAL
222192	247252	IDENTICAL
247252	222192	IDENTICAL
177352	177354	IDENTICAL
177352	177350	IDENTICAL
177352	177353	IDENTICAL
177354	177352	IDENTICAL
177354	177350	IDENTICAL
177354	177353	IDENTICAL
177350	177352	IDENTICAL
177350	177354	IDENTICAL
177350	177353	IDENTICAL
177353	177352	IDENTICAL
177353	177354	IDENTICAL
177353	177350	IDENTICAL
177416	2567178	IDENTICAL
2567178	177416	IDENTICAL
178064	114006	IDENTICAL
178064	241915	IDENTICAL
178064	104314	IDENTICAL
114006	178064	IDENTICAL
114006	241915	IDENTICAL
114006	104314	IDENTICAL
241915	178064	IDENTICAL
241915	114006	IDENTICAL
241915	104314	IDENTICAL
104314	178064	IDENTICAL
104314	114006	IDENTICAL
104314	241915	IDENTICAL
178140	211947	IDENTICAL
211947	178140	IDENTICAL
178260	179187	IDENTICAL
179187	178260	IDENTICAL
223060	213263	IDENTICAL
213263	223060	IDENTICAL
223068	223069	IDENTICAL
223069	223068	IDENTICAL
223276	226383	IDENTICAL
223276	152241	IDENTICAL
226383	223276	IDENTICAL
226383	152241	IDENTICAL
152241	223276	IDENTICAL
152241	226383	IDENTICAL
223640	237547	IDENTICAL
237547	223640	IDENTICAL
224200	149108	IDENTICAL
149108	224200	IDENTICAL
224264	226124	IDENTICAL
224264	224265	IDENTICAL
226124	224264	IDENTICAL
226124	224265	IDENTICAL
224265	224264	IDENTICAL
224265	226124	IDENTICAL
224320	226121	IDENTICAL
226121	224320	IDENTICAL
224332	94754	IDENTICAL
224332	224422	IDENTICAL
94754	224332	IDENTICAL
94754	224422	IDENTICAL
224422	224332	IDENTICAL
224422	94754	IDENTICAL
224372	285815	IDENTICAL
224372	183174	IDENTICAL
285815	224372	IDENTICAL
285815	183174	IDENTICAL
183174	224372	IDENTICAL
183174	285815	IDENTICAL
224424	277290	IDENTICAL
224424	119993	IDENTICAL
277290	224424	IDENTICAL
277290	119993	IDENTICAL
119993	224424	IDENTICAL
119993	277290	IDENTICAL
224540	237223	IDENTICAL
237223	224540	IDENTICAL
228888	238429	IDENTICAL
238429	228888	IDENTICAL
229208	12998	IDENTICAL
229208	2581091	IDENTICAL
229208	128001	IDENTICAL
12998	229208	IDENTICAL
12998	2581091	IDENTICAL
12998	128001	IDENTICAL
2581091	229208	IDENTICAL
2581091	12998	IDENTICAL
2581091	128001	IDENTICAL
128001	229208	IDENTICAL
128001	12998	IDENTICAL
128001	2581091	IDENTICAL
224964	266039	IDENTICAL
224964	266043	IDENTICAL
266039	224964	IDENTICAL
266039	266043	IDENTICAL
266043	224964	IDENTICAL
266043	266039	IDENTICAL
225528	41041	IDENTICAL
41041	225528	IDENTICAL
225592	77650	IDENTICAL
225592	225593	IDENTICAL
77650	225592	IDENTICAL
77650	225593	IDENTICAL
225593	225592	IDENTICAL
225593	77650	IDENTICAL
225800	82061	IDENTICAL
225800	115316	IDENTICAL
82061	225800	IDENTICAL
82061	115316	IDENTICAL
115316	225800	IDENTICAL
115316	82061	IDENTICAL
226060	15025	IDENTICAL
15025	226060	IDENTICAL
226068	225044	IDENTICAL
225044	226068	IDENTICAL
226104	224246	IDENTICAL
226104	248159	IDENTICAL
224246	226104	IDENTICAL
224246	248159	IDENTICAL
248159	226104	IDENTICAL
248159	224246	IDENTICAL
226112	224261	IDENTICAL
224261	226112	IDENTICAL
226240	226239	IDENTICAL
226239	226240	IDENTICAL
226332	59631	IDENTICAL
59631	226332	IDENTICAL
226600	624596	IDENTICAL
226600	46243	IDENTICAL
226600	1376	IDENTICAL
624596	226600	IDENTICAL
624596	46243	IDENTICAL
624596	1376	IDENTICAL
46243	226600	IDENTICAL
46243	624596	IDENTICAL
46243	1376	IDENTICAL
1376	226600	IDENTICAL
1376	624596	IDENTICAL
1376	46243	IDENTICAL
226608	226042	IDENTICAL
226608	226043	IDENTICAL
226608	226607	IDENTICAL
226608	226813	IDENTICAL
226608	226044	IDENTICAL
226042	226608	IDENTICAL
226042	226043	IDENTICAL
226042	226607	IDENTICAL
226042	226813	IDENTICAL
226042	226044	IDENTICAL
226043	226608	IDENTICAL
226043	226042	IDENTICAL
226043	226607	IDENTICAL
226043	226813	IDENTICAL
226043	226044	IDENTICAL
226607	226608	IDENTICAL
226607	226042	IDENTICAL
226607	226043	IDENTICAL
226607	226813	IDENTICAL
226607	226044	IDENTICAL
226813	226608	IDENTICAL
226813	226042	IDENTICAL
226813	226043	IDENTICAL
226813	226607	IDENTICAL
226813	226044	IDENTICAL
226044	226608	IDENTICAL
226044	226042	IDENTICAL
226044	226043	IDENTICAL
226044	226607	IDENTICAL
226044	226813	IDENTICAL
226856	2568	IDENTICAL
2568	226856	IDENTICAL
226896	248185	IDENTICAL
248185	226896	IDENTICAL
227116	158053	IDENTICAL
158053	227116	IDENTICAL
227196	75278	IDENTICAL
75278	227196	IDENTICAL
227236	42947	IDENTICAL
42947	227236	IDENTICAL
227244	15911	IDENTICAL
15911	227244	IDENTICAL
227256	161572	IDENTICAL
227256	73810	IDENTICAL
161572	227256	IDENTICAL
161572	73810	IDENTICAL
73810	227256	IDENTICAL
73810	161572	IDENTICAL
227384	695988	IDENTICAL
695988	227384	IDENTICAL
227528	213186	IDENTICAL
213186	227528	IDENTICAL
227680	29519	IDENTICAL
29519	227680	IDENTICAL
227736	161162	IDENTICAL
161162	227736	IDENTICAL
227748	261257	IDENTICAL
261257	227748	IDENTICAL
227796	76102	IDENTICAL
76102	227796	IDENTICAL
227884	631115	IDENTICAL
631115	227884	IDENTICAL
229564	18714	IDENTICAL
18714	229564	IDENTICAL
229700	59354	IDENTICAL
59354	229700	IDENTICAL
229824	55489	IDENTICAL
55489	229824	IDENTICAL
229940	73826	IDENTICAL
73826	229940	IDENTICAL
230016	21496	IDENTICAL
21496	230016	IDENTICAL
230108	177105	IDENTICAL
177105	230108	IDENTICAL
230480	39751	IDENTICAL
39751	230480	IDENTICAL
231784	2977	IDENTICAL
2977	231784	IDENTICAL
231868	231860	IDENTICAL
231860	231868	IDENTICAL
231904	400274	IDENTICAL
400274	231904	IDENTICAL
231932	231933	IDENTICAL
231933	231932	IDENTICAL
232772	232766	IDENTICAL
232772	232777	IDENTICAL
232766	232772	IDENTICAL
232766	232777	IDENTICAL
232777	232772	IDENTICAL
232777	232766	IDENTICAL
161024	62074	IDENTICAL
62074	161024	IDENTICAL
161524	73786	IDENTICAL
161524	225918	IDENTICAL
73786	161524	IDENTICAL
73786	225918	IDENTICAL
225918	161524	IDENTICAL
225918	73786	IDENTICAL
161532	184949	IDENTICAL
161532	677543	IDENTICAL
161532	250141	IDENTICAL
161532	254530	IDENTICAL
184949	161532	IDENTICAL
184949	677543	IDENTICAL
184949	250141	IDENTICAL
184949	254530	IDENTICAL
677543	161532	IDENTICAL
677543	184949	IDENTICAL
677543	250141	IDENTICAL
677543	254530	IDENTICAL
250141	161532	IDENTICAL
250141	184949	IDENTICAL
250141	677543	IDENTICAL
250141	254530	IDENTICAL
254530	161532	IDENTICAL
254530	184949	IDENTICAL
254530	677543	IDENTICAL
254530	250141	IDENTICAL
161612	17157	IDENTICAL
17157	161612	IDENTICAL
161620	161619	IDENTICAL
161619	161620	IDENTICAL
161628	161629	IDENTICAL
161629	161628	IDENTICAL
161916	766888	IDENTICAL
766888	161916	IDENTICAL
178440	160345	IDENTICAL
160345	178440	IDENTICAL
178980	274315	IDENTICAL
178980	152926	IDENTICAL
274315	178980	IDENTICAL
274315	152926	IDENTICAL
152926	178980	IDENTICAL
152926	274315	IDENTICAL
179296	223743	IDENTICAL
179296	760113	IDENTICAL
223743	179296	IDENTICAL
223743	760113	IDENTICAL
760113	179296	IDENTICAL
760113	223743	IDENTICAL
179376	179398	IDENTICAL
179398	179376	IDENTICAL
179428	24661	IDENTICAL
24661	179428	IDENTICAL
193508	21653	IDENTICAL
21653	193508	IDENTICAL
207632	207633	IDENTICAL
207633	207632	IDENTICAL
207860	401246	IDENTICAL
207860	188974	IDENTICAL
401246	207860	IDENTICAL
401246	188974	IDENTICAL
188974	207860	IDENTICAL
188974	401246	IDENTICAL
207892	207893	IDENTICAL
207892	207894	IDENTICAL
207893	207892	IDENTICAL
207893	207894	IDENTICAL
207894	207892	IDENTICAL
207894	207893	IDENTICAL
208068	206862	IDENTICAL
206862	208068	IDENTICAL
208140	126789	IDENTICAL
126789	208140	IDENTICAL
208260	234812	IDENTICAL
234812	208260	IDENTICAL
208288	213979	IDENTICAL
213979	208288	IDENTICAL
208312	125322	IDENTICAL
125322	208312	IDENTICAL
162332	664298	IDENTICAL
162332	162348	IDENTICAL
162332	162349	IDENTICAL
664298	162332	IDENTICAL
664298	162348	IDENTICAL
664298	162349	IDENTICAL
162348	162332	IDENTICAL
162348	664298	IDENTICAL
162348	162349	IDENTICAL
162349	162332	IDENTICAL
162349	664298	IDENTICAL
162349	162348	IDENTICAL
162788	22322	IDENTICAL
22322	162788	IDENTICAL
163100	60392	IDENTICAL
60392	163100	IDENTICAL
163108	59811	IDENTICAL
59811	163108	IDENTICAL
163128	4243	IDENTICAL
163128	114056	IDENTICAL
4243	163128	IDENTICAL
4243	114056	IDENTICAL
114056	163128	IDENTICAL
114056	4243	IDENTICAL
179668	179666	IDENTICAL
179668	179678	IDENTICAL
179668	179667	IDENTICAL
179668	179664	IDENTICAL
179666	179668	IDENTICAL
179666	179678	IDENTICAL
179666	179667	IDENTICAL
179666	179664	IDENTICAL
179678	179668	IDENTICAL
179678	179666	IDENTICAL
179678	179667	IDENTICAL
179678	179664	IDENTICAL
179667	179668	IDENTICAL
179667	179666	IDENTICAL
179667	179678	IDENTICAL
179667	179664	IDENTICAL
179664	179668	IDENTICAL
179664	179666	IDENTICAL
179664	179678	IDENTICAL
179664	179667	IDENTICAL
179724	96391	IDENTICAL
96391	179724	IDENTICAL
179736	195325	IDENTICAL
195325	179736	IDENTICAL
180060	180108	IDENTICAL
180108	180060	IDENTICAL
180112	180136	IDENTICAL
180136	180112	IDENTICAL
180288	229916	IDENTICAL
229916	180288	IDENTICAL
180392	180390	IDENTICAL
180392	49510	IDENTICAL
180392	180391	IDENTICAL
180390	180392	IDENTICAL
180390	49510	IDENTICAL
180390	180391	IDENTICAL
49510	180392	IDENTICAL
49510	180390	IDENTICAL
49510	180391	IDENTICAL
180391	180392	IDENTICAL
180391	180390	IDENTICAL
180391	49510	IDENTICAL
194644	343955	IDENTICAL
343955	194644	IDENTICAL
194976	217751	IDENTICAL
217751	194976	IDENTICAL
208932	205030	IDENTICAL
205030	208932	IDENTICAL
209280	209279	IDENTICAL
209279	209280	IDENTICAL
209396	209395	IDENTICAL
209395	209396	IDENTICAL
209420	209419	IDENTICAL
209419	209420	IDENTICAL
209604	209591	IDENTICAL
209591	209604	IDENTICAL
164024	164023	IDENTICAL
164023	164024	IDENTICAL
164300	2562781	IDENTICAL
2562781	164300	IDENTICAL
164320	2567020	IDENTICAL
2567020	164320	IDENTICAL
180540	94741	IDENTICAL
94741	180540	IDENTICAL
180752	7332	IDENTICAL
7332	180752	IDENTICAL
195320	48942	IDENTICAL
195320	193509	IDENTICAL
48942	195320	IDENTICAL
48942	193509	IDENTICAL
193509	195320	IDENTICAL
193509	48942	IDENTICAL
195456	45891	IDENTICAL
195456	128470	IDENTICAL
195456	73324	IDENTICAL
45891	195456	IDENTICAL
45891	128470	IDENTICAL
45891	73324	IDENTICAL
128470	195456	IDENTICAL
128470	45891	IDENTICAL
128470	73324	IDENTICAL
73324	195456	IDENTICAL
73324	45891	IDENTICAL
73324	128470	IDENTICAL
196152	35283	IDENTICAL
35283	196152	IDENTICAL
196256	196258	IDENTICAL
196258	196256	IDENTICAL
209688	209733	IDENTICAL
209733	209688	IDENTICAL
209824	209825	IDENTICAL
209825	209824	IDENTICAL
210656	8423	IDENTICAL
8423	210656	IDENTICAL
210668	66913	IDENTICAL
210668	2572769	IDENTICAL
66913	210668	IDENTICAL
66913	2572769	IDENTICAL
2572769	210668	IDENTICAL
2572769	66913	IDENTICAL
210748	134423	IDENTICAL
210748	225374	IDENTICAL
210748	225373	IDENTICAL
210748	210749	IDENTICAL
210748	225375	IDENTICAL
210748	226643	IDENTICAL
210748	210746	IDENTICAL
210748	210747	IDENTICAL
134423	210748	IDENTICAL
134423	225374	IDENTICAL
134423	225373	IDENTICAL
134423	210749	IDENTICAL
134423	225375	IDENTICAL
134423	226643	IDENTICAL
134423	210746	IDENTICAL
134423	210747	IDENTICAL
225374	210748	IDENTICAL
