source,count nsc any nsc,count nsc inventory,count nsc inv&nci60,count nsc nci60,mf W99 any nsc,mf W99 inventory,mf W99 inv&nci60,mf W99 nci60,mf with . any nsc,mf with . inventory,mf with . inv&nci60,mf with . nci60,mf ~ .*(.*)[xn0-9] any nsc,mf ~ .*(.*)[xn0-9] inventory,mf ~ .*(.*)[xn0-9] inv&nci60,mf ~ .*(.*)[xn0-9] nci60,mw DIFF 0 any nsc,mw DIFF 0 inventory,mw DIFF 0 inv&nci60,mw DIFF 0 nci60,mw DIFF 1 any nsc,mw DIFF 1 inventory,mw DIFF 1 inv&nci60,mw DIFF 1 nci60,mw DIFF 2 any nsc,mw DIFF 2 inventory,mw DIFF 2 inv&nci60,mw DIFF 2 nci60,mw DIFF 5 any nsc,mw DIFF 5 inventory,mw DIFF 5 inv&nci60,mw DIFF 5 nci60,r groups any nsc,r groups inventory,r groups inv&nci60,r groups nci60
multi_lbl_multi_strc_multi_salt,5,5,3,3,,,,,5,5,3,3,,,,,,,,,5,5,3,3,5,5,3,3,5,5,3,3,,,,
multi_lbl_multi_strc_no_salt,128,15,1,2,99,1,,,28,14,1,2,14,8,,,1,,,,16,6,1,2,16,6,1,2,16,6,1,2,102,4,1,1
multi_lbl_multi_strc_one_salt,36,29,,,7,6,,,26,20,,,11,9,,,,,,,19,15,,,19,15,,,19,15,,,2,1,,
multi_lbl_multi_strc_two_salt,20,16,3,3,1,1,,,17,13,1,1,7,6,,,,,,,16,13,3,3,16,13,3,3,16,13,3,3,,,,
multi_lbl_no_strc_no_salt,598,367,20,46,170,43,5,30,127,86,5,5,3,3,,,,,,,423,322,16,17,423,322,16,17,423,322,16,17,,,,
multi_lbl_one_strc_no_salt,746,330,75,278,192,6,3,140,57,50,6,6,289,217,17,18,202,70,51,110,377,199,57,122,377,199,57,122,377,199,57,122,225,34,9,148
multi_lbl_one_strc_one_salt,5,3,,,1,,,,1,1,,,4,3,,,,,,,,,,,,,,,,,,,,,,
multi_lbl_two_strc_no_salt,260,199,12,15,5,4,4,5,222,172,6,8,82,63,1,1,,,,,177,134,7,9,177,134,7,9,177,134,7,9,5,5,1,1
multi_lbl_two_strc_one_salt,306,230,19,25,6,4,1,1,292,219,18,24,54,43,5,5,,,,,253,191,13,19,253,191,13,19,253,191,13,19,21,14,4,4
multi_lbl_two_strc_two_salt,4,2,,,,,,,4,2,,,,,,,,,,,4,2,,,4,2,,,4,2,,,,,,
no_lbl_multi_strc_multi_salt,42,16,3,3,,,,,28,13,1,1,,,,,,,,,39,14,3,3,39,14,3,3,39,14,3,3,,,,
no_lbl_multi_strc_no_salt,1374,998,46,52,,,,,530,393,32,37,104,78,,,39,29,4,4,1230,892,43,49,1230,892,43,49,1230,892,43,49,1047,780,13,14
no_lbl_multi_strc_one_salt,303,223,43,47,1,1,1,1,274,212,41,45,27,22,1,1,,,,,269,195,41,45,269,195,41,45,269,195,41,45,32,23,6,9
no_lbl_multi_strc_two_salt,598,281,70,96,,,,,395,273,69,95,9,8,,,,,,,585,269,70,96,585,269,70,96,585,269,70,96,1,1,1,1
no_lbl_one_strc_no_salt,591413,336243,69108,87892,114,32,1,2,586,403,66,70,905,600,10,10,563927,327874,67369,85674,5726,4189,636,741,3228,2412,351,415,1860,1426,177,199,1062,676,20,25
no_lbl_one_strc_one_salt,154,100,10,10,,,,,13,7,2,2,,,,,139,92,7,7,13,7,2,2,13,7,2,2,13,7,2,2,,,,
no_lbl_two_strc_no_salt,8807,6227,622,829,4,4,,,7260,5205,536,688,456,314,5,5,982,649,38,40,7325,5235,579,785,7324,5235,579,784,7323,5235,579,784,1746,1188,61,76
no_lbl_two_strc_one_salt,71121,50506,8527,10519,2,,,,67675,50200,8459,10436,54,42,,,327,162,13,24,70971,50413,8524,10516,70971,50413,8524,10516,70971,50413,8524,10516,28,16,1,2
no_lbl_two_strc_two_salt,211,160,5,5,,,,,208,158,5,5,2,1,,,,,,,204,157,5,5,204,157,5,5,204,157,5,5,,,,
