salt_code_number	salt_name	salt_description	salt_weight	salt_formula
1	no salt	no salt	0	
2	# Elements	# Elements	91.224	Zr
3	# Elements	# Elements	67.42488	H2Zn
4	# Elements	# Elements	65.409	Zn
5	# Elements	# Elements	173.04	Yb
6	# Elements	# Elements	88.90585	Y
7	# Elements	# Elements	183.84	W
8	# Elements	# Elements	50.9415	V
9	# Elements	# Elements	168.93421	Tm
10	# Elements	# Elements	204.3833	Tl
11	# Elements	# Elements	47.867	Ti
12	# Elements	# Elements	158.92534	Tb
13	# Elements	# Elements	180.9479	Ta
14	# Elements	# Elements	87.62	Sr
15	# Elements	# Elements	122.74176	H4Sn
16	# Elements	# Elements	120.72587	H2Sn
17	# Elements	# Elements	150.36	Sm
18	# Elements	# Elements	34.13313	H6Si
19	# Thiocyanate	# Thiocyanate	59.09034	CHNS
20	# Thiocyanate,THIOCYANATE	# Thiocyanate,THIOCYANATE	58.0824	CNS
21	# Elements	# Elements	44.95591	Sc
22	# Elements	# Elements	121.76	Sb
23	# Elements	# Elements	103.08587	H2Ru
24	# Elements	# Elements	102.07794	HRu
25	# Elements	# Elements	101.07	Ru
26	# Elements	# Elements	103.91344	HRh
27	# Elements	# Elements	102.9055	Rh
28	# Elements	# Elements	85.4678	Rb
29	# Elements	# Elements	199.10976	H4Pt
30	# Elements	# Elements	197.09388	H2Pt
31	# Elements	# Elements	140.90764	Pr
32	# Elements	# Elements	110.45176	H4Pd
33	# Elements	# Elements	108.43588	H2Pd
34	# Elements	# Elements	211.23175	H4Pb
35	# Elements	# Elements	209.21588	H2Pb
36	SULFOSALICYLATE,SULPHOSALICYLATE	SULFOSALICYLATE,SULPHOSALICYLATE	217.176	C7H5O6S
37	# Sulfuric acid	# Sulfuric acid	97.07054	HO4S
38	SULFATE,SULPHATE	SULFATE,SULPHATE	98.07847	H2O4S
39	# Sulfuric acid	# Sulfuric acid	98.07848	H2O4S
40	# Sulfuric acid	# Sulfuric acid	97.07054	HO4S
41	SULFATE,# Sulfuric acid,# Sulfuric acid << NOT VALID RDKit mol,SULPHATE	SULFATE,# Sulfuric acid,# Sulfuric acid << NOT VALID RDKit mol,SULPHATE	96.06259	O4S
42	# Sulfuric acid << NOT VALID RDKit mol	# Sulfuric acid << NOT VALID RDKit mol	96.06259	O4S
43	# Sulfuric acid	# Sulfuric acid	96.06259	O4S
44	# N-cyclohexylsulfamic acid*	# N-cyclohexylsulfamic acid*	179.23732	C6H13NO3S
45	N-CYCLOHEXYLSULFAMATE,N-CYCLOHEXYLSULPHAMATE	N-CYCLOHEXYLSULFAMATE,N-CYCLOHEXYLSULPHAMATE	178.22938	C6H12NO3S
46	FLUOROSULFONATE,FLUOROSULPHONATE	FLUOROSULFONATE,FLUOROSULPHONATE	99.0616	FO3S
47	# Ethane-1,2-disulfonic acid*	# Ethane-1,2-disulfonic acid*	190.19544	C2H6O6S2
48	1,2-ethanedisulfonate,1,2-Ethanedisulfonate,1,2-ETHANEDISULFONATE,1,2-ETHANEDISULPHONATE	1,2-ethanedisulfonate,1,2-Ethanedisulfonate,1,2-ETHANEDISULFONATE,1,2-ETHANEDISULPHONATE	188.17956	C2H4O6S2
49	CLOSILATE	CLOSILATE	192.6201	C6H5ClO3S
50	p-chlorobenzenesulfonate,p-Chlorobenzenesulfonate,p-CHLOROBENZENESULFONATE,p-CHLOROBENZENESULPHONATE	p-chlorobenzenesulfonate,p-Chlorobenzenesulfonate,p-CHLOROBENZENESULFONATE,p-CHLOROBENZENESULPHONATE	191.61216	C6H4ClO3S
51	# Benzenesulfonic acid	# Benzenesulfonic acid	158.17504	C6H6O3S
52	benzenesulfonate,Benzenesulfonate,BENZENESULFONATE,# Benzenesulfonic acid	benzenesulfonate,Benzenesulfonate,BENZENESULFONATE,# Benzenesulfonic acid	157.16709	C6H5O3S
53	# 1,5-Naphthalene-disulfonic acid*	# 1,5-Naphthalene-disulfonic acid*	288.29692	C10H8O6S2
54	1,5-Naphthalenedisulfonate,1,5-NAPHTHALENEDISULFONATE,1,5-NAPHTHALENEDISULPHONATE	1,5-Naphthalenedisulfonate,1,5-NAPHTHALENEDISULFONATE,1,5-NAPHTHALENEDISULPHONATE	286.28103	C10H6O6S2
