salt_code_number	salt_name	salt_description	salt_weight	salt_formula
55	2-naphthalenesulfonate,2-Naphthalenesulfonate,2-NAPHTHALENESULFONATE,# 2-Naphthalenesulfonic acid,2-NAPHTHALENESULPHONATE	2-naphthalenesulfonate,2-Naphthalenesulfonate,2-NAPHTHALENESULFONATE,# 2-Naphthalenesulfonic acid,2-NAPHTHALENESULPHONATE	207.22578	C10H7O3S
56	SULFITE,SULPHITE	SULFITE,SULPHITE	82.07907	H2O3S
57	SULFITE,SULPHITE	SULFITE,SULPHITE	80.06319	O3S
58	DIPHOSPHATE	DIPHOSPHATE	173.94332	O7P2
59	# Phosphate	# Phosphate	96.98724	H2O4P
60	DIHYDROGEN PHOSPHATE,# Phosphate	DIHYDROGEN PHOSPHATE,# Phosphate	97.99518	H3O4P
61	# Phosphate	# Phosphate	95.9793	HO4P
62	# Phosphate << NOT VALID RDKit mol	# Phosphate << NOT VALID RDKit mol	95.9793	HO4P
63	# Phosphate << NOT VALID RDKit mol	# Phosphate << NOT VALID RDKit mol	97.99518	H3O4P
64	ORTHOPHOSPHATE,PHOSPHATE	ORTHOPHOSPHATE,PHOSPHATE	94.97136	O4P
65	PHOSPHITE	PHOSPHITE	78.97196	O3P
66	# Nitrate	# Nitrate	63.01284	HNO3
67	MONONITRATE,# Nitrate,NITRATE	MONONITRATE,# Nitrate,NITRATE	62.0049	NO3
68	# Water	# Water	17.00734	HO
69	# Carbonate	# Carbonate	61.01684	CHO3
70	# Carbonate	# Carbonate	62.02478	CH2O3
71	# Carbonate,CARBONATE	# Carbonate,CARBONATE	60.0089	CO3
72	# Oxalic acid	# Oxalic acid	89.02694	C2HO4
73	OXALATE,# Oxalic acid	OXALATE,# Oxalic acid	90.03488	C2H2O4
74	OXALATE,# Oxalic acid	OXALATE,# Oxalic acid	88.019	C2O4
75	GLYOXYLATE	GLYOXYLATE	73.02754	C2HO3
76	HIPPURATE	HIPPURATE	178.16472	C9H8NO3
77	ethylenediaminetetraacetate	ethylenediaminetetraacetate	288.21088	C10H12N2O8
78	# Pyroglutamic acid	# Pyroglutamic acid	129.11398	C5H7NO3
79	# TFA	# TFA	114.02334	C2HF3O2
80	# TFA,trifluoroacetate,TRIFLUOROACETATE	# TFA,trifluoroacetate,TRIFLUOROACETATE	113.0154	C2F3O2
81	# Malonic acid	# Malonic acid	103.05352	C3H3O4
82	MALONATE,# Malonic acid	MALONATE,# Malonic acid	104.06146	C3H4O4
83	MALONATE	MALONATE	102.04558	C3H2O4
84	# Hydroxymaleic acid*	# Hydroxymaleic acid*	132.07156	C4H4O5
85	# Citric acid,DIHYDROGEN CITRATE	# Citric acid,DIHYDROGEN CITRATE	192.12352	C6H8O7
86	SALICYLOYLACETATE	SALICYLOYLACETATE	180.15742	C9H8O4
87	# Succinic acid	# Succinic acid	117.0801	C4H5O4
88	SUCCINATE,# Succinic acid	SUCCINATE,# Succinic acid	118.08804	C4H6O4
89	# Fumaric acid	# Fumaric acid	115.06422	C4H3O4
90	FUMARATE,# Fumaric acid	FUMARATE,# Fumaric acid	116.07216	C4H4O4
91	MALEATE,# Maleic acid	MALEATE,# Maleic acid	116.07216	C4H4O4
92	SUCCINATE	SUCCINATE	116.07216	C4H4O4
93	FUMARATE,# Fumaric acid	FUMARATE,# Fumaric acid	114.05627	C4H2O4
94	MALEATE	MALEATE	114.05627	C4H2O4
95	# Oxoglutaric acid	# Oxoglutaric acid	146.09814	C5H6O5
96	2-Oxoglutarate	2-Oxoglutarate	144.08226	C5H4O5
97	# Adipic acid	# Adipic acid	146.1412	C6H10O4
98	ADIPATE	ADIPATE	144.12532	C6H8O4
99	# Pimelic acid*	# Pimelic acid*	160.16778	C7H12O4
100	# Suberic acid*	# Suberic acid*	174.19436	C8H14O4
101	# Azelaic acid*	# Azelaic acid*	188.22094	C9H16O4
102	UNDEC-10-ENOATE	UNDEC-10-ENOATE	183.26736	C11H19O2
103	CYCLOHEXYLPROPIONATE	CYCLOHEXYLPROPIONATE	156.22214	C9H16O2
104	CYCLOHEXANEPROPIONATE	CYCLOHEXANEPROPIONATE	155.2142	C9H15O2
105	# Cinnamic acid*	# Cinnamic acid*	148.15862	C9H8O2
106	PHENYLPROPIONATE	PHENYLPROPIONATE	150.1745	C9H10O2
107	CINNAMATE	CINNAMATE	147.15068	C9H7O2
108	3-phenylpropionate	3-phenylpropionate	149.16656	C9H9O2
109	cyclopentanepropionate,Cyclopentanepropionate,CYCLOPENTANEPROPIONATE,CYPIONATE	cyclopentanepropionate,Cyclopentanepropionate,CYCLOPENTANEPROPIONATE,CYPIONATE	141.18762	C8H13O2
110	PYRIDYLACETATE	PYRIDYLACETATE	137.13598	C7H7NO2
111	# Phenylacetic acid	# Phenylacetic acid	136.14792	C8H8O2
112	FUROATE	FUROATE	111.07552	C5H3O3
113	# Orotic acid	# Orotic acid	158.11213	C5H6N2O4
114	# Orotic acid	# Orotic acid	156.09625	C5H4N2O4
115	ISONICOTINATE,# Isonicotinic acid	ISONICOTINATE,# Isonicotinic acid	122.10146	C6H4NO2
116	# Pyroglutamic acid	# Pyroglutamic acid	129.11398	C5H7NO3
117	# Nicotinic acid*	# Nicotinic acid*	123.1094	C6H5NO2
118	NICOTINATE,# Nicotinic acid*	NICOTINATE,# Nicotinic acid*	122.10146	C6H4NO2
119	p-Carboxybenzenesulfonate	p-Carboxybenzenesulfonate	201.1766	C7H5O5S
120	# 2-Phenoxybenzoic acid*	# 2-Phenoxybenzoic acid*	214.2167	C13H10O3
121	# Salicylic acid	# Salicylic acid	138.12073	C7H6O3
122	DINITROBENZOATE	DINITROBENZOATE	211.10852	C7H3N2O6
123	NITROBENZOATE	NITROBENZOATE	166.11096	C7H4NO4
124	TETRAHYDROPHTHALATE	TETRAHYDROPHTHALATE	168.14672	C8H8O4
125	# Phthalic acid*	# Phthalic acid*	166.13084	C8H6O4
126	PHTHALATE	PHTHALATE	164.11496	C8H4O4
127	ISOPHTHALATE	ISOPHTHALATE	164.11496	C8H4O4
128	# Cyclohexancarboxylic acid*	# Cyclohexancarboxylic acid*	128.16897	C7H12O2
129	# Benzoic acid	# Benzoic acid	122.12134	C7H6O2
388	# Benzene	# Benzene	78.11184	C6H6
130	BENZOATE,# Benzoic acid,MONOBENZOATE	BENZOATE,# Benzoic acid,MONOBENZOATE	121.1134	C7H5O2
131	4,4-methylenebis[3-hydroxy-2-naphthoate],4,4-Methylenebis(3-hydroxy-2-naphthoate),4,4.-METHYLENEBIS(3-HYDROXY-2-NAPHTHOATE)	4,4-methylenebis[3-hydroxy-2-naphthoate],4,4-Methylenebis(3-hydroxy-2-naphthoate),4,4.-METHYLENEBIS(3-HYDROXY-2-NAPHTHOATE)	388.36953	C23H16O6
132	# Adamantanecarboxylic acid	# Adamantanecarboxylic acid	180.24354	C11H16O2
133	# Formic acid	# Formic acid	46.02538	CH2O2
134	FORMATE,# Formic acid	FORMATE,# Formic acid	45.01744	CHO2
135	# Perchlorate	# Perchlorate	100.45854	ClHO4
136	# Perchlorate,PERCHLORATE,# Perchlorate << NOT VALID RDKit mol	# Perchlorate,PERCHLORATE,# Perchlorate << NOT VALID RDKit mol	99.4506	ClO4
137	# Tartaric acid	# Tartaric acid	150.08684	C4H6O6
138	# Tartaric acid	# Tartaric acid	150.08684	C4H6O6
139	# Tartaric acid	# Tartaric acid	149.0789	C4H5O6
140	# Tartaric acid	# Tartaric acid	150.08684	C4H6O6
141	GLUCARATE,SACCHARATE	GLUCARATE,SACCHARATE	208.12292	C6H8O8
142	# Malic acid	# Malic acid	134.08743	C4H6O5
143	2-hydroxyethanesulfonate,2-Hydroxyethanesulfonate,2-HYDROXYETHANESULFONATE,2-HYDROXYETHANESULPHONATE	2-hydroxyethanesulfonate,2-Hydroxyethanesulfonate,2-HYDROXYETHANESULFONATE,2-HYDROXYETHANESULPHONATE	125.12369	C2H5O4S
144	# 2-Hydroxyethanesulfonic acid,ISETHIONATE	# 2-Hydroxyethanesulfonic acid,ISETHIONATE	126.13163	C2H6O4S
145	# Mandelic acid*	# Mandelic acid*	152.14732	C8H8O3
146	MANDELATE	MANDELATE	151.13937	C8H7O3
147	GLYCOLATE	GLYCOLATE	75.04342	C2H3O3
148	# Glycolic acid	# Glycolic acid	76.05136	C2H4O3
149	BITARTRATE,# Tartaric acid,TARTRATE	BITARTRATE,# Tartaric acid,TARTRATE	150.08684	C4H6O6
150	TARTRATE	TARTRATE	148.07095	C4H4O6
151	# Tartaric acid	# Tartaric acid	149.0789	C4H5O6
152	# Glycerin*	# Glycerin*	92.09381	C3H8O3
153	# Ascorbic acid	# Ascorbic acid	176.12412	C6H8O6
154	# Ethylene glycol*	# Ethylene glycol*	62.06784	C2H6O2
155	2,2,2-nitrilotriethanol,triethanolamine,Triethanolamine,TRIETHANOLAMINE	2,2,2-nitrilotriethanol,triethanolamine,Triethanolamine,TRIETHANOLAMINE	149.1882	C6H15NO3
156	diethanolamine,Diethanolamine,DIETHANOLAMINE	diethanolamine,Diethanolamine,DIETHANOLAMINE	105.13563	C4H11NO2
157	1-pyrrolidineethanol,1-PYRROLIDINEETHANOL	1-pyrrolidineethanol,1-PYRROLIDINEETHANOL	115.17351	C6H13NO
158	# Gluconic acid	# Gluconic acid	195.14734	C6H11O7
159	# Gluconic acid	# Gluconic acid	195.14734	C6H11O7
160	GLUCONATE	GLUCONATE	195.14734	C6H11O7
161	Glucoheptonate,GLUCOHEPTONATE	Glucoheptonate,GLUCOHEPTONATE	225.17332	C7H13O8
162	ASCORBATE	ASCORBATE	176.12411	C6H8O6
163	GLUCOSIDE	GLUCOSIDE	180.15588	C6H12O6
164	# Malic acid	# Malic acid	133.0795	C4H5O5
165	MALATE	MALATE	134.08744	C4H6O5
166	MALATE	MALATE	132.07156	C4H4O5
167	# Malic acid	# Malic acid	133.0795	C4H5O5
168	CITRATE	CITRATE	189.0997	C6H5O7
169	# 1,3-Propanediol	# 1,3-Propanediol	76.09442	C3H8O2
170	# 1,4-Butanediol	# 1,4-Butanediol	90.121	C4H10O2
171	BARBITURATE	BARBITURATE	128.08615	C4H4N2O3
172	OROTATE,# Orotic acid	OROTATE,# Orotic acid	155.08831	C5H3N2O4
173	2,4,5-Trichlorophenolate	2,4,5-Trichlorophenolate	196.43848	C6H2Cl3O
174	DIHYDROXYBENZOATE	DIHYDROXYBENZOATE	153.11219	C7H5O4
175	PICRATE,# Picric acid	PICRATE,# Picric acid	229.10392	C6H3N3O7
176	# Picric acid	# Picric acid	228.09598	C6H2N3O7
177	METHYLENEDISALICYLATE	METHYLENEDISALICYLATE	288.25218	C15H12O6
178	HYDROXYBENZOATE,SALICYLATE,# Salicylic acid	HYDROXYBENZOATE,SALICYLATE,# Salicylic acid	137.1128	C7H5O3
179	o-(4-hydroxybenzoyl)benzoate,o-(4-HYDROXYBENZOYL)BENZOATE,o-(p-hydroxybenzoyl)benzoate	o-(4-hydroxybenzoyl)benzoate,o-(4-HYDROXYBENZOYL)BENZOATE,o-(p-hydroxybenzoyl)benzoate	241.21886	C14H9O4
180	o-[(2-hydroxy-4-biphenylyl)-carbonyl]benzoate	o-[(2-hydroxy-4-biphenylyl)-carbonyl]benzoate	317.31482	C20H13O4
181	1-hydroxy-2-naphthoate	1-hydroxy-2-naphthoate	187.17148	C11H7O3
259	# N-methylsulfamic acid*	# N-methylsulfamic acid*	111.1203	CH5NO3S
182	EMBONATE,PAMOATE	EMBONATE,PAMOATE	386.35365	C23H14O6
183	HYDROXYNAPHTHOATE	HYDROXYNAPHTHOATE	187.17148	C11H7O3
184	6,7-Dihydroxycoumarin-4-methanesulfonate	6,7-Dihydroxycoumarin-4-methanesulfonate	271.22338	C10H7O7S
185	BORATE	BORATE	61.83302	BH3O3
186	# Water	# Water	18.01528	H2O
187	# Sulfamic acid*	# Sulfamic acid*	97.09371	H3NO3S
188	AMINOSALICYLATE	AMINOSALICYLATE	152.12744	C7H6NO3
189	# Elements	# Elements	58.6934	Ni
190	# Ammonia	# Ammonia	18.03846	H4N
191	# MEA	# MEA	62.09102	C2H8NO
192	# Cyclohexylamine,CYCLOHEXYLAMMONIUM	# Cyclohexylamine,CYCLOHEXYLAMMONIUM	100.18206	C6H14N
193	# Aniline	# Aniline	94.13442	C6H8N
194	# Elements	# Elements	144.24	Nd
195	# Thiocyanate	# Thiocyanate	58.0824	CNS
196	CARBAMATE	CARBAMATE	60.03208	CH2NO2
197	ARGININE	ARGININE	174.20095	C6H14N4O2
198	Ethanolamine,ETHANOLAMINE,# MEA	Ethanolamine,ETHANOLAMINE,# MEA	61.08308	C2H7NO
199	ethylenediamine,# Ethylenediamine,ETHYLENEDIAMINE	ethylenediamine,# Ethylenediamine,ETHYLENEDIAMINE	60.09832	C2H8N2
200	# Aspartic acid*	# Aspartic acid*	133.10268	C4H7NO4
201	# Diaminopropane	# Diaminopropane	74.1249	C3H10N2
202	# Glutamic acid*	# Glutamic acid*	147.12925	C5H9NO4
203	# Arginine	# Arginine	174.20096	C6H14N4O2
204	# Lysine	# Lysine	146.18755	C6H14N2O2
205	LYSINATE	LYSINATE	145.17962	C6H13N2O2
206	# Benzonitrile	# Benzonitrile	103.1213	C7H5N
207	# 4-Aminosalicylic acid*	# 4-Aminosalicylic acid*	153.13538	C7H7NO3
208	4,4-Diaminostilbene-2,2-disulfonate << NOT VALID RDKit mol	4,4-Diaminostilbene-2,2-disulfonate << NOT VALID RDKit mol	370.40075	C14H14N2O6S2
209	# Sulfanilic acid	# Sulfanilic acid	173.18968	C6H7NO3S
210	# Cyclohexylamine	# Cyclohexylamine	99.17412	C6H13N
211	# Cyclopropylamine	# Cyclopropylamine	57.09438	C3H7N
212	# Elements	# Elements	23.99771	HNa
213	# Elements	# Elements	22.98977	Na
214	# Ammonia	# Ammonia	17.03052	H3N
215	# Elements	# Elements	95.94	Mo
216	# Elements	# Elements	54.93804	Mn
217	# Elements	# Elements	26.32088	H2Mg
218	# Elements	# Elements	25.31294	HMg
219	# Elements	# Elements	24.305	Mg
220	# Elements	# Elements	174.967	Lu
221	# Elements	# Elements	7.94894	HLi
222	# Elements	# Elements	6.941	Li
223	# Elements	# Elements	138.90549	La
224	# Elements	# Elements	41.11418	H2K
225	# Elements	# Elements	40.10624	HK
226	# Elements	# Elements	39.0983	K
227	# Elements	# Elements	192.217	Ir
228	# Elements	# Elements	114.818	In
229	# Halogens	# Halogens	126.90447	I
230	# Elements	# Elements	164.93032	Ho
231	# Elements	# Elements	202.60588	H2Hg
232	# Elements	# Elements	201.59794	HHg
233	# Elements	# Elements	200.59	Hg
234	# Elements	# Elements	157.25	Gd
235	# Elements	# Elements	69.723	Ga
236	# Elements	# Elements	55.845	Fe
237	# Tetrafluroborate	# Tetrafluroborate	86.80461	BF4
238	# Halogens	# Halogens	18.9984	F
239	# Elements	# Elements	151.964	Eu
240	# Elements	# Elements	167.25899	Er
241	# Elements	# Elements	162.5	Dy
242	# Elements	# Elements	63.546	Cu
243	methanesulfonate,Methanesulfonate,METHANESULFONATE,METHANESULPHONATE,# Methansulfonic acid,# Methansulfonic acid << NOT VALID RDKit mol	methanesulfonate,Methanesulfonate,METHANESULFONATE,METHANESULPHONATE,# Methansulfonic acid,# Methansulfonic acid << NOT VALID RDKit mol	95.09772	CH3O3S
244	MESYLATE	MESYLATE	96.10565	CH4O3S
245	# Methansulfonic acid	# Methansulfonic acid	96.10566	CH4O3S
246	# DMSO	# DMSO	78.13344	C2H6OS
247	# Elements	# Elements	132.90545	Cs
248	# Elements	# Elements	51.9961	Cr
249	# Methylsulfuric acid	# Methylsulfuric acid	111.09711	CH3O4S
250	Methylsulfate,METHYLSULFATE,# Methylsulfuric acid,METHYLSULPHATE,METILSULFATE,METILSULPHATE	Methylsulfate,METHYLSULFATE,# Methylsulfuric acid,METHYLSULPHATE,METILSULFATE,METILSULPHATE	112.10506	CH4O4S
251	# Diglyme*	# Diglyme*	134.17356	C6H14O3
252	# DME*	# DME*	90.121	C4H10O2
253	# MTBE*	# MTBE*	88.14818	C5H12O
254	3,4,5-Trimethoxybenzene	3,4,5-Trimethoxybenzene	168.18978	C9H12O3
255	3-methoxy-2-naphthoate	3-methoxy-2-naphthoate	201.19806	C12H9O3
256	# Dimethylether*	# Dimethylether*	46.06844	C2H6O
257	# Elements	# Elements	58.9332	Co
258	# Methanol	# Methanol	32.04186	CH4O
260	# Nitromethane*	# Nitromethane*	61.04002	CH3NO2
261	# N-Methylmorpholine	# N-Methylmorpholine	102.15488	C5H12NO
262	# HMPA*	# HMPA*	179.20038	C6H18N3OP
263	# HMPT*	# HMPT*	163.20098	C6H18N3P
264	# Dimethylacetamide	# Dimethylacetamide	87.12036	C4H9NO
265	# Dimethylformamide,# DMF*	# Dimethylformamide,# DMF*	73.09378	C3H7NO
266	MEGLUMINE,N-methylglucamine,N-METHYLGLUCAMINE	MEGLUMINE,N-methylglucamine,N-METHYLGLUCAMINE	195.21358	C7H17NO5
267	N,N-dimethyl-beta-alaninate	N,N-dimethyl-beta-alaninate	116.13839	C5H10NO2
268	N,N-DIMETHYL-beta-ALANINE	N,N-DIMETHYL-beta-ALANINE	117.14634	C5H11NO2
269	CHOLINE	CHOLINE	104.17075	C5H14NO
270	8-Chlorotheophyllinate,8-CHLOROTHEOPHYLLINATE	8-Chlorotheophyllinate,8-CHLOROTHEOPHYLLINATE	243.58405	C7H4ClN4O4
271	1,2,3,6-Tetrahydro-1,3-dimethyl-2,6-dioxopurine-7-ethanesulfonate	1,2,3,6-Tetrahydro-1,3-dimethyl-2,6-dioxopurine-7-ethanesulfonate	287.27243	C9H11N4O5S
272	1,2,3,6-Tetrahydro-1,3-dimethyl-2,6-dioxopurine-7-propanesulfonate	1,2,3,6-Tetrahydro-1,3-dimethyl-2,6-dioxopurine-7-propanesulfonate	301.29902	C10H13N4O5S
273	# N-Methylmorpholine	# N-Methylmorpholine	101.14694	C5H11NO
274	# N.N'-dimethylpiperazine	# N.N'-dimethylpiperazine	114.18876	C6H14N2
275	# NMP*	# NMP*	99.13106	C5H9NO
276	# Carbon tetrachloride*	# Carbon tetrachloride*	153.8227	CCl4
277	# Chloroform*	# Chloroform*	119.37764	CHCl3
278	# Methylene Chloride*	# Methylene Chloride*	84.93258	CH2Cl2
279	# 1,2-dichloroethane*	# 1,2-dichloroethane*	98.95916	C2H4Cl2
280	# Chlorobenzene*	# Chlorobenzene*	112.5569	C6H5Cl
281	# Halogens	# Halogens	35.453	Cl
282	# Elements	# Elements	140.116	Ce
283	# Elements	# Elements	114.42688	CdH2
284	# Elements	# Elements	112.411	Cd
285	ethanesulfonate,Ethanesulfonate,ETHANESULFONATE,ETHANESULPHONATE	ethanesulfonate,Ethanesulfonate,ETHANESULFONATE,ETHANESULPHONATE	109.12429	C2H5O3S
286	ESYLATE	ESYLATE	110.13223	C2H6O3S
287	# Ethylsulfuric acid	# Ethylsulfuric acid	125.12369	C2H5O4S
288	# Ethylsulfuric acid	# Ethylsulfuric acid	126.13163	C2H6O4S
289	# Ethylsulfuric acid	# Ethylsulfuric acid	125.12369	C2H5O4S
290	t-butyl acetate,t-BUTYL ACETATE,tert-butyl acetate	t-butyl acetate,t-BUTYL ACETATE,tert-butyl acetate	116.15828	C6H12O2
291	ACETYLSALICYLATE	ACETYLSALICYLATE	179.14948	C9H7O4
292	# 2-Acetoxybenzoic acid*	# 2-Acetoxybenzoic acid*	180.15742	C9H8O4
293	ACETATE,# Acetic acid	ACETATE,# Acetic acid	59.04402	C2H3O2
294	# Acetic acid	# Acetic acid	60.05196	C2H4O2
295	ACETURATE,N-acetylglycinate,N-Acetylglycinate,N-ACETYLGLYCINATE	ACETURATE,N-acetylglycinate,N-Acetylglycinate,N-ACETYLGLYCINATE	116.09534	C4H6NO3
296	ethyl carbonate	ethyl carbonate	90.07794	C3H6O3
297	LACTATE	LACTATE	89.07	C3H5O3
298	# Lactic acid	# Lactic acid	90.07794	C3H6O3
299	4-OXOPENTANOATE,LEVULINATE	4-OXOPENTANOATE,LEVULINATE	115.10727	C5H7O3
300	# Diethylether	# Diethylether	74.1216	C4H10O
301	# Acetone	# Acetone	58.07914	C3H6O
302	# Ethanol	# Ethanol	46.06844	C2H6O
303	# N-ethylsulfamic acid*	# N-ethylsulfamic acid*	125.14688	C2H7NO3S
304	# Triethylamine	# Triethylamine	102.19794	C6H16N
305	ETHYLAMMONIUM	ETHYLAMMONIUM	46.09162	C2H8N
306	DIETHYLAMMONIUM	DIETHYLAMMONIUM	74.14478	C4H12N
307	# TEA	# TEA	130.25109	C8H20N
308	# Triethylamine	# Triethylamine	101.19	C6H15N
309	DIETHYLAMINE	DIETHYLAMINE	73.13684	C4H11N
310	# N-ethylpiperidine*	# N-ethylpiperidine*	113.2007	C7H15N
311	# Acetonitrile*	# Acetonitrile*	41.05192	C2H3N
312	ETHYLAMINE	ETHYLAMINE	45.08368	C2H7N
313	# Lactic acid	# Lactic acid	89.07	C3H5O3
314	# Lactic acid	# Lactic acid	89.07	C3H5O3
315	ISOPROPYL	ISOPROPYL	43.08768	C3H7
316	ISOPROPIONATE,PROPIONATE	ISOPROPIONATE,PROPIONATE	73.0706	C3H5O2
317	# Propionic acid*	# Propionic acid*	74.07854	C3H6O2
318	# 2-butanone*	# 2-butanone*	72.10572	C4H8O
319	# 2-Propanol	# 2-Propanol	60.09502	C3H8O
320	# 1-Propanol	# 1-Propanol	60.09502	C3H8O
321	# Methylmaleic acid*	# Methylmaleic acid*	130.09874	C5H6O4
322	butanoate,BUTYLATE,BUTYRATE	butanoate,BUTYLATE,BUTYRATE	87.09718	C4H7O2
323	# Butyric acid,ISOBUTYRATE	# Butyric acid,ISOBUTYRATE	87.09718	C4H7O2
324	PANTOTHENATE	PANTOTHENATE	218.22704	C9H16NO5
325	# 2-butanol*	# 2-butanol*	74.1216	C4H10O
326	# t-butyl alcohol*	# t-butyl alcohol*	74.1216	C4H10O
327	# 1-butanol*	# 1-butanol*	74.1216	C4H10O
328	t-BUTYLAMINE,tert-butylamine	t-BUTYLAMINE,tert-butylamine	73.13683	C4H11N
329	ETHYLSUCCINATE	ETHYLSUCCINATE	144.12531	C6H8O4
330	(Pivaloyloxy)methyl	(Pivaloyloxy)methyl	115.15034	C6H11O2
331	VALERATE	VALERATE	101.12375	C5H9O2
332	PIVALATE,Trimethylacetate,TRIMETHYLACETATE	PIVALATE,Trimethylacetate,TRIMETHYLACETATE	101.12375	C5H9O2
333	trans-4-butylcyclohexanecarboxylate	trans-4-butylcyclohexanecarboxylate	183.26736	C11H19O2
334	CAPROATE,hexanoate,HEXANOATE	CAPROATE,hexanoate,HEXANOATE	115.15033	C6H11O2
335	ISOCAPROATE	ISOCAPROATE	115.15034	C6H11O2
336	3,3-dimethylbutyrate	3,3-dimethylbutyrate	115.15033	C6H11O2
337	ENANTHATE,heptanoate,Heptanoate,HEPTANOATE	ENANTHATE,heptanoate,Heptanoate,HEPTANOATE	129.17692	C7H13O2
338	OCTANOATE	OCTANOATE	143.2035	C8H15O2
339	# Octanoic acid	# Octanoic acid	144.21143	C8H16O2
340	ETHYLHEXANOATE	ETHYLHEXANOATE	143.2035	C8H15O2
341	DECANOATE	DECANOATE	171.25666	C10H19O2
342	# Decanoic acid*	# Decanoic acid*	172.2646	C10H20O2
343	UNDECANOATE	UNDECANOATE	185.28324	C11H21O2
344	UNDECYLENATE	UNDECYLENATE	183.26736	C11H19O2
